state,time,candidate,votes,share,text
AZ,2020-11-10T02:09:35Z,Biden,1648642,0.4947,"AZ Presidential Election Results

Biden (D): 49.47% (1,648,642 votes)
Trump (R): 49.02% (1,633,896 votes)

Biden Margin: +14,746 (-2,206)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-10T02:09:35Z,Trump,1633896,0.4902,"AZ Presidential Election Results

Biden (D): 49.47% (1,648,642 votes)
Trump (R): 49.02% (1,633,896 votes)

Biden Margin: +14,746 (-2,206)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
GA,2020-11-10T02:08:00Z,Biden,2469118,0.495,"GA Presidential Election Results

Biden (D): 49.5% (2,469,118 votes)
Trump (R): 49.26% (2,456,781 votes)

Biden Margin: +12,337 (+746)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
GA,2020-11-10T02:08:00Z,Trump,2456781,0.4926,"GA Presidential Election Results

Biden (D): 49.5% (2,469,118 votes)
Trump (R): 49.26% (2,456,781 votes)

Biden Margin: +12,337 (+746)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
GA,2020-11-09T20:51:24Z,Biden,2467748,0.495,"GA Presidential Election Results

Biden (D): 49.5% (2,467,748 votes)
Trump (R): 49.26% (2,456,157 votes)

Biden Margin: +11,591 (+2,431)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
GA,2020-11-09T20:51:24Z,Trump,2456157,0.4926,"GA Presidential Election Results

Biden (D): 49.5% (2,467,748 votes)
Trump (R): 49.26% (2,456,157 votes)

Biden Margin: +11,591 (+2,431)
Estimated: &gt; 99% votes in

More results here: https://t.co/xlHf7GZUxJ"
AZ,2020-11-08T23:39:55Z,Biden,1643488,0.495,"AZ Presidential Election Results

Biden (D): 49.5% (1,643,488 votes)
Trump (R): 48.99% (1,626,536 votes)

Biden Margin: +16,952 (-4,076)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-08T23:39:55Z,Trump,1626536,0.4899,"AZ Presidential Election Results

Biden (D): 49.5% (1,643,488 votes)
Trump (R): 48.99% (1,626,536 votes)

Biden Margin: +16,952 (-4,076)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-08T23:33:39Z,Biden,1638997,0.49570000000000003,"AZ Presidential Election Results

Biden (D): 49.57% (1,638,997 votes)
Trump (R): 48.93% (1,617,969 votes)

Biden Margin: +21,028 (+926)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLt7E8w"
AZ,2020-11-08T23:33:39Z,Trump,1617969,0.4893,"AZ Presidential Election Results

Biden (D): 49.57% (1,638,997 votes)
Trump (R): 48.93% (1,617,969 votes)

Biden Margin: +21,028 (+926)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLt7E8w"
AZ,2020-11-08T23:05:16Z,Biden,1636934,0.4955,"AZ Presidential Election Results

Biden (D): 49.55% (1,636,934 votes)
Trump (R): 48.95% (1,616,832 votes)

Biden Margin: +20,102 (+754)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
